AmbienteEscolar1,Rendimiento1,Progreso1,IndicadorEducacion,dane
14.62774,9.828021,21.41035,45.8661,105001000001
14.87499,9.717688,16.57143,41.1641,105001000043
16.1483,12.31424,20.37998,48.84252,105001000108
14.30831,11.02779,17.20568,42.54177,105001000132
14.31359,10.60308,16.80564,41.72232,105001000141
14.40191,9.763008,19.3158,43.48072,105001000175
13.54336,10.19653,17.95815,41.69805,105001000205
13.83727,9.939626,14.83067,38.60757,105001000256
14.20833,11.0696,18.15256,43.43049,105001000353
16.09581,10.06527,19.00636,45.16744,105001000396
14.55941,10.47203,18.21741,43.24886,105001000418
16.12941,12.56299,26.32925,55.02164,105001000485
14.41321,10.50049,15.97575,40.88945,105001000566
14.32976,13.19421,23.1332,50.65718,105001000621
14.4765,10.37414,17.60378,42.45442,105001000795
13.79214,10.94745,16.10067,40.84026,105001000809
16.00918,13.30138,21.90634,51.2169,105001000841
15.30902,10.38663,16.39515,42.09079,105001000868
14.28853,10.31019,20.6425,45.24122,105001000876
15.33523,11.4967,19.7832,46.61513,105001000931
14.86793,10.30754,17.21517,42.39064,105001000981
15.11296,11.53172,20.77288,47.41755,105001000990
15.36166,11.33816,15.82315,42.52296,105001001023
14.60551,11.09501,17.21614,42.91666,105001001121
16.5099,10.23575,17.95061,44.69626,105001001155
14.18678,10.37218,21.00403,45.56299,105001001198
14.97059,10.69064,21.67586,47.33709,105001001236
15.29648,10.38157,13.84107,39.51912,105001001252
13.70468,9.811848,16.92212,40.43864,105001001279
17.12478,12.60331,18.75705,48.48515,105001001317
13.46508,9.72793,16.89809,40.0911,105001001368
13.82478,10.5247,20.36668,44.71616,105001001473
14.54001,11.81219,21.42595,47.77815,105001001490
14.54647,11.54524,24.62762,50.71934,105001001562
14.56463,12.45837,25.01935,52.04235,105001001635
13.54688,11.10644,19.11571,43.76904,105001001651
14.95831,9.954833,12.73801,37.65116,105001001660
15.06663,10.09888,19.42164,44.58715,105001001686
14.73011,11.66665,20.57236,46.96913,105001001791
15.1328,9.952031,17.07415,42.15899,105001001805
15.30917,12.24466,23.00786,50.5617,105001001848
15.96798,11.01888,16.32075,43.30761,105001002003
14.08948,10.30952,15.82825,40.22724,105001002011
15.22557,11.37732,22.64726,49.25015,105001002020
13.03641,11.59812,24.717,49.35152,105001002038
15.0327,7.740191,15.05811,37.83101,105001002071
14.19994,11.17043,16.99421,42.36458,105001002101
14.32943,10.85753,19.85045,45.03741,105001002119
16.53588,10.07916,17.21583,43.83087,105001002135
16.23027,10.08006,18.91715,45.22747,105001002305
14.74787,10.42988,16.87615,42.05391,105001002348
16.40862,10.27275,17.86795,44.54932,105001002356
14.89673,11.73618,21.41957,48.05247,105001002461
14.15939,10.53961,20.25888,44.95789,105001002470
15.32333,10.28508,15.37337,40.98178,105001002488
15.20789,11.04508,22.10461,48.35757,105001002496
14.1619,10.09406,13.8049,38.06087,105001002526
13.39578,9.952209,17.57994,40.92793,105001002780
15.60617,12.80698,20.01976,48.43291,105001002798
15.11398,11.67791,24.40344,51.19532,105001002895
15.24013,10.65966,15.23947,41.13926,105001002976
14.00047,11.51921,22.83971,48.35939,105001003123
13.35853,9.873122,20.79634,44.02799,105001003131
16.17619,10.49324,16.41921,43.08865,105001003221
15.56023,10.59768,21.50121,47.65912,105001003271
14.34496,10.19533,15.42948,39.96978,105001003280
14.76329,11.47865,17.6418,43.88374,105001003298
15.4204,10.18078,17.30521,42.90639,105001003387
16.73936,11.02789,18.7123,46.47955,105001003425
13.55304,13.40435,26.35652,53.31391,105001003441
15.2142,11.56355,18.06483,44.84259,105001003450
16.41551,13.99472,24.73932,55.14955,105001004472
14.8682,14.29589,22.67338,51.83747,105001004791
15.64427,10.47266,18.04836,44.16529,105001005291
16.06524,10.20907,16.60598,42.88029,105001005339
14.68159,11.01917,18.9072,44.60796,105001005347
15.58991,10.88387,17.57459,44.04837,105001005410
14.57197,11.09567,17.86481,43.53245,105001005495
13.50995,9.694912,17.75393,40.95879,105001005525
14.87025,9.319097,17.78655,41.9759,105001005878
16.21896,11.881,21.07225,49.17221,105001006068
14.54449,11.43307,22.33219,48.30975,105001006092
14.79208,10.64107,21.50755,46.9407,105001006181
15.40821,10.27026,17.04439,42.72285,105001006246
13.69532,10.45551,17.32199,41.47282,105001006483
16.30123,10.55828,18.47352,45.33303,105001006718
16.05994,10.92242,19.97513,46.95748,105001006980
14.13729,10.00655,15.49029,39.63413,105001007111
14.8058,10.58212,17.68991,43.07783,105001007188
15.91167,10.07324,17.99248,43.97739,105001007218
15.86821,11.69049,23.65895,51.21765,105001007421
13.28076,10.52174,16.77805,40.58054,105001007439
14.58285,10.5273,19.80925,44.9194,105001007889
15.01024,9.638973,19.41822,44.06744,105001007978
15.71927,10.36718,15.09391,41.18036,105001008249
14.21607,10.60328,19.09678,43.91612,105001008389
13.12012,10.41059,17.88028,41.41099,105001008451
15.26136,10.44215,17.77051,43.47403,105001008486
15.59611,10.38915,15.9763,41.96156,105001009652
15.38033,12.59025,20.15503,48.12561,105001009695
14.78439,10.71511,15.35426,40.85375,105001009709
14.94418,11.00868,19.06343,45.01629,105001009865
14.47104,10.35933,17.53455,42.36492,105001010111
