dane,ExpectativasAcademicas,Comunicacion,Participacion,SeguridadRespeto
105001013072,6.605361,6.654422,6.711112,6.318429
105001013145,7.615298,6.897577,6.85208,6.908673
105001013340,7.334826,6.412927,6.718286,6.052723
105001013439,7.462337,6.794734,6.592876,6.642339
105001013447,6.99277,6.711389,6.741562,6.269451
105001013633,6.946673,6.562762,6.228751,6.402076
105001014052,6.513887,6.498358,6.273967,5.647221
105001014397,7.532943,6.919636,6.744762,6.797782
105001014851,7.873088,6.871057,6.870034,6.881744
105001014869,6.491181,6.435318,6.185862,5.652538
105001015091,7.332196,7.287517,6.885747,6.779166
105001015148,6.438392,6.269376,6.196155,6.17381
105001015172,7.267847,6.647285,6.993956,6.264317
105001015211,7.004279,6.957966,6.549586,6.314398
105001015229,6.701521,6.96911,6.835498,6.514288
105001015831,7.122949,7.096145,6.965755,6.853989
105001016420,6.552331,6.059429,5.771269,5.943845
105001017132,6.351913,6.697661,6.094009,6.106168
105001017876,7.498864,7.106236,7.217058,6.763848
105001017965,7.030631,6.892191,6.53019,6.826209
105001018759,7.410047,6.797867,6.815844,7.274249
105001019011,7.083223,7.114448,6.979956,6.749516
105001019062,7.580272,7.063071,7.266901,6.908606
105001019089,6.594748,6.771714,6.630759,5.647641
105001019143,6.812279,6.795938,6.396189,5.994349
105001019194,7.413999,6.798348,6.684991,6.58772
105001019305,6.737964,6.950485,6.704841,6.847512
105001019330,6.928514,7.034738,6.919227,6.607648
105001019429,7.368419,6.708117,7.130908,6.513933
105001019453,7.498605,7.048477,6.956172,6.789359
105001019534,7.53579,7.056196,6.746973,7.03918
105001019674,6.838164,6.495538,6.156293,6.40302
105001019798,6.570781,6.893964,6.242284,5.671017
105001019925,6.091112,6.024696,5.534857,5.090773
105001020028,7.62604,7.417156,7.172169,6.942762
105001020052,7.267477,6.941085,6.233923,7.160753
105001020273,7.705366,7.309952,7.366724,6.829621
105001021199,6.806131,6.758393,6.45973,6.460731
105001021547,7.283746,7.007265,6.61212,6.979859
105001021636,6.873636,6.490685,6.644675,6.732712
105001021873,6.956872,6.392838,6.421131,6.056017
105001022101,7.005918,6.67047,6.407892,6.601068
105001023965,7.317029,7.194988,7.117829,7.267649
105001024073,6.977411,6.527475,6.581845,6.017048
105001025763,6.602661,6.555411,6.37846,5.825024
105001025771,7.359651,7.102262,7.085072,6.383522
105001025798,7.029825,6.909047,7.055714,5.984345
105001025844,7.288417,6.954995,6.74734,6.805557
105001025984,6.992888,5.957534,6.141975,6.646486
105001025992,6.062158,5.891711,5.945679,5.9271
105001026000,6.702991,6.613761,6.340557,6.042396
105001026131,6.653088,6.542898,6.178586,6.195996
205001001389,6.778784,6.160962,5.577084,6.531566
205001001672,6.815844,6.790729,6.776537,6.135092
205001001966,7.101449,6.753796,6.729468,7.83701
205001002199,6.557559,6.039404,5.987474,6.083515
205001002768,6.531723,6.322949,6.185185,7.183113
205001006119,6.915728,6.559854,6.722839,7.522144
205001006224,8.615905,7.867394,7.851764,8.263847
205001006232,6.890289,6.282137,6.22011,6.05188
205001006526,7.15271,7.114284,7.231582,6.963922
205001007735,5.949753,5.760795,5.362471,6.49061
205001009797,7.146257,6.850224,6.41893,6.730334
205001009916,6.953354,6.68746,6.475575,6.607476
205001010264,6.792758,6.580688,6.460706,6.293814
205001010281,7.146039,7.115824,6.910021,6.658389
205001011031,6.720719,6.339909,6.496502,6.21987
205001012534,7.150048,6.771312,6.659616,6.529992
205001014308,7.155395,6.806591,6.614412,7.338654
205001018745,6.244396,6.150794,5.431141,5.456937
205001019318,7.59628,6.971972,6.829392,6.508711
205001019989,7.382287,6.669246,6.812963,6.996736
205001021452,6.729267,6.075025,6.346451,7.175602
305001004854,6.488392,5.890339,5.75141,6.291613
305001007594,7.850778,7.253267,7.476785,7.97313
305001015287,6.484128,6.425012,6.247374,6.58161
305001015686,6.573117,6.195591,6.281917,6.439883
305001016542,7.070127,6.968292,6.711566,7.234342
305001018022,7.519741,7.446551,6.878201,6.399325
305001018839,7.376749,6.515858,6.636728,7.092734
305001019690,6.686842,6.323786,6.483877,6.197606
305001022232,7.534149,7.616105,6.693723,6.952118
305001022640,6.726555,6.662257,6.754467,6.646918
