dane1,ExpectativasAcademicas,Comunicacion,Participacion,SeguridadRespeto,TemaMatematica07,TemaLenguaje07,prmatalto07,prlenalto07,TemaLenguaje10,TemaMatematica10,prmatalto10,prlenalto10,Avanzadom9,Avanzadom5,Avanzadol9,Avanzadol5,Aprobacion5,Aprobacion9,Rextraedad,ProgresoLen5,ProgresoLen9,ProgresoMat5,ProgresoMat9,ProgresoLen11,ProgresoMat11,iden1
105001000001,68.07761,68.73938,65.93732,59.24251,40.82,47.14,0,0,50.4,42.42,0,0,-1.036628,0,-.2663037,1,86.4,81.81818,84.84849,50.37714,50.04493,50.37714,41.14808,86.30035,50.10484,1
105001000043,65.95106,69.25922,67.32922,64.62323,44.27619,45.96769,.0797365,-.0341289,45.5609,41.78547,.5215423,.0063119,0,2,0,2,83.1579,82.53968,80.48843,27.69031,50.14516,51.99142,50.58065,35.83896,49.84138,2
105001000108,79.73716,67.38742,68.02947,75.50952,47.67,51.21,.5514706,.3676471,50.31,47.59,1.991701,.0829876,1.639994,14.86696,4.116592,18.18453,92.52721,86.03045,97.67635,52.46738,53.10157,50.39777,50.33966,50,63.71774,3
105001000132,67.43816,64.52038,60.57034,64.76394,44.48,49.19,0,0,47.275,45.16,1.282051,0,0,13,2,4,85,60.86956,98.71795,35.42351,47.61298,29.53445,34.83838,60.47611,55.95052,4
105001000141,67.14394,68.24818,61.99846,59.14898,47.67,47.14,0,0,45.105,42.33,0,0,0,3,0,7,100,100,92.10526,60.98409,54.9974,38.91196,52.81104,32.10753,35.33332,5
105001000175,63.62101,67.26794,65.41719,62.32865,44.48,45.01,0,0,44.05,42.42,0,0,0,4,0,4,77.23391,91.52542,78.86179,50.25091,51.27511,50.37714,51.02009,50.07902,52.55022,6
105001000205,64.17449,60.78682,60.58847,57.38282,44.051,46.27098,-.0413544,-.0068515,46.27,39.53,0,0,0,4,0,9,86.45833,84.14634,87.27273,50,51.63569,39.03519,43.83031,49.90802,48.84122,7
105001000256,64.92316,63.28634,60.12159,60.11535,47.67,47.14,2.439024,0,44.05,39.53,.5263158,0,1.065521,2,.8964209,11,95.90301,92.12924,67.89473,54.52889,50.46115,51.69579,52.07031,10.08602,31.00545,8
105001000353,66.30527,64.25574,59.2339,65.9668,44.48,47.14,0,0,46.27,42.42,0,0,1,7,1,15,95.45576,91.33372,94.94949,41.63601,48.77213,38.27924,38.94122,60.89011,52.55022,9
105001000396,73.89651,73.41563,72.74921,68.79987,44.48,47.14,0,0,46.16,42.42,0,0,0,5,0,9,97.07317,89.34911,72.07792,56.81988,57.05645,44.87715,57.05645,37.6129,52.55022,10
105001000418,68.0034,63.45958,66.65432,63.30618,40.82,45.01,0,0,46.16,43.715,2,0,0,6,0,6,90.69768,81.92091,95,39.86132,56.0632,58.34931,31.86588,50.86917,50.16667,11
105001000485,75.69025,73.78712,68.79441,71.55524,47.67,47.14,0,0,46.27,47.59,1.226994,0,7,28,4,24,97.69231,79.08497,87.73006,76.83761,72.81884,74.89516,72.81884,60.89011,63.71774,12
105001000566,65.79951,64.43022,62.99999,66.13062,44.48,47.14,0,0,43.93,45.16,0,0,0,9,6,9,93.69928,94.73685,73.52941,45.85112,68.75519,50,43.11828,3.204301,55.95052,13
105001000621,66.006,63.92692,65.80299,61.45601,47.67,53.22,4.301075,0,52.38,52.66,1.149425,0,2.642382,18,5.894307,24,98.47328,84.17722,98.85057,56.31,56.61584,54.42525,54.20233,52.60793,85.27419,14
105001000795,69.92966,64.44991,63.18926,62.20466,44.48,45.01,0,0,44.05,39.53,0,0,0,9,0,7,97.5978,99.32433,87.85047,49.54816,52.3199,45.62806,55.56776,50.07902,31.33151,15
105001000809,64.27267,63.09082,60.92968,59.25048,44.48,47.14,0,0,46.16,40.93,0,0,0,9,5,6,93.26773,92.68293,98.48485,34.42844,46.43882,45.19495,40.79123,37.6129,50.51004,16
105001000841,74.84978,71.03238,66.2183,76.3874,53.2,55.25,6.410257,2.564103,50.31,50.14,2.325581,0,2,16,3,26,95.38461,88.81579,100,64.74244,55.14085,72.64423,58.25997,49.98387,49.99194,17
105001000868,70.35963,70.29757,69.37768,64.5736,40.82,45.01,0,0,43.93,42.33,0,0,0,8,0,12,96.42857,95.38461,84.05797,51.41257,26.48387,54.28402,26.48387,42.5327,50.05107,18
105001000876,70.44957,65.13692,64.36418,55.5261,44.48,47.14,0,0,46.27,42.33,0,0,0,8,0,7,95.91837,86.42857,80.18018,56.72604,51.85687,53.74805,50.47409,60.89011,50.85007,19
105001000931,72.46591,66.78783,66.88673,69.64766,44.48,49.19,.4219409,.4219409,46.27,47.59,1.408451,0,0,10,0,18,92.56757,78.49829,95.30516,52.39461,43.77668,52.56033,66.09131,42.87234,56.63058,20
105001000981,69.53774,66.63773,67.69731,62.81049,44.48,45.01,0,0,44.05,42.42,.3367003,0,1,8,1,11,93.27592,74.29578,80.80808,47.03162,55.7705,45.40538,16.68548,50.07902,52.55022,21
105001000990,71.61782,68.19583,64.45238,67.32256,44.48,47.14,0,0,46.27,42.33,0,0,1,15,7,15,98.86364,97.83784,91.30435,54.20547,62.80713,49.42439,51.28071,60.89011,50.85007,22
