dane,ExpectativasAcademicas,Comunicacion,Participacion,SeguridadRespeto,tema_matematica,tema_lenguaje,prmat_alto_07_p,prlen_alto_07_p,tema_lenguaje_d,tema_matematica_d,prmat_alto_10_p,prlen_alto_10_p,Progresolen11,Progresomat11,aprobación5,aprobación9,rtextra,Progresolen5,Progresolen9,Progresomat5,Progresomat9,avanzado_m9,avanzado_m5,avanzado_l9,avanzado_l5
105001001473,63.87436,62.66994,60.72145,61.14187,44.48,47.14,0,0,46.27,42.33,1.351351,0,60.89011,50.85007,90.79755,86.09272,85.13514,58.90958,56.62478,55.53006,36.43365,0,7,0,10
105001001490,68.89594,61.90056,65.38733,65.16447,44.48,49.19,0,0,48.28,45.16,0,.7272727,63.96815,55.95052,96.47887,90.78213,97.09091,,47.77368,,61.97648,1,14,3,17
105001001562,70.46182,64.22105,61.49772,65.26426,44.48,49.19,0,.3717472,50.31,47.59,.3125,.3125,83.17436,56.63058,100,97.4359,95.3125,,68.44311,,66.76646,1,9,4,9
105001001635,67.6189,64.8082,65.46296,63.69308,46.075,49.19,.7692308,0,48.37,47.59,2.531646,0,77.9363,68.51821,96.03175,87.10043,98.10126,,78.22883,,53.5286,5,22,4,16
105001001651,65.99158,60.66924,59.65522,56.50459,44.48,47.14,0,0,46.16,46.375,0,0,37.6129,56.54557,92.10526,97.61904,93.90244,54.05738,58.29776,56.78852,41.95435,4,9,2,7
105001001660,69.32881,70.91994,66.36967,61.43663,44.48,47.14,0,0,46.16,39.53,0,0,37.6129,31.33151,89.38053,75,86.30137,23.32435,31.93456,28.58911,50.41981,0,3,0,4
105001001686,71.9817,67.84272,65.77175,64.79306,44.48,45.01,0,0,41.64,45.01,0,0,37.5545,54.67541,88.46153,77.41935,87.5,32.50911,64.11205,55.27041,73.18408,0,10,0,0
105001001791,69.12766,66.41017,62.19014,67.243,44.48,51.21,0,0,46.16,47.59,1.960784,0,46.71415,56.63058,92.18384,70.58823,96.07843,66.33516,55.48241,65.2066,34.06517,0,18,0,13
105001001805,69.20962,70.65967,69.59401,61.66253,42.65,45.01,0,0,44.05,42.33,0,0,50.07902,50.72992,95.17544,84.42623,89.15663,51.29347,30.25806,53.28463,25.03226,0,2,0,3
105001001848,72.42432,67.1657,64.62215,71.38964,47.67,49.19,1.694915,0,46.27,45.16,4.225352,0,42.87234,49.75956,83.05085,86.17021,98.59155,65.41885,77.29032,63.59212,80.19355,8,15,5,18
105001001881,74.04916,72.42011,70.01382,70.72358,,,,,,,,,,,97.72991,91.20879,,,,,,,,,
105001002003,75.6965,73.74723,69.56084,67.37867,44.48,51.21,0,0,46.27,45.16,0,0,48.05836,55.95052,100,81.39535,94.11765,35.47986,,29.07572,,0,6,4,7
105001002011,68.99065,63.28571,61.32606,58.96675,47.67,49.19,.5524862,0,46.16,42.42,.4149378,0,33.25,40.14207,94.68085,89.0845,75.93361,39.98083,66.45726,37.17724,42.53301,0,8,2,3
105001002020,70.68806,67.77143,66.00427,69.42262,44.48,45.01,0,0,,,,,,,98.78049,85.06493,,67.92999,73.56983,46.90322,67.02265,1,14,4,19
