dane,nombre
105001011088,"INST EDUC CIUDADELA LAS AMERICAS"
105001011363,"INST EDUC DOCE DE OCTUBRE"
105001011461,"INST EDUC FE Y ALEGRIA AURES"
105001011606,"INST EDUC HORACIO MUÑOZ SUESCUN"
105001011631,"INST EDUC ASAMBLEA DEPARTAMENTAL"
105001011690,"INST EDUC FEDERICO CARRASQUILLA"
105001011711,"INST EDUC FE Y ALEGRIA VILLA DE LA CANDELARIA"
105001011886,"INST EDUC AMERICA"
105001012092,"INST EDUC BARRIO SANTANDER"
105001012106,"INST EDUC JUAN MARIA CESPEDES"
105001012165,"INST EDUC GUADALUPE"
105001012696,"INST EDUC ALFONSO LOPEZ PUMAREJO"
105001012700,"INST EDUC SAN PABLO"
105001013013,"INST EDUC PICACHITO"
105001013072,"INST EDUC MAESTRO PEDRO NEL GOMEZ"
105001013145,"INST EDUC SANTA TERESA"
105001013340,"INST EDUC INEM JOSE FELIX DE RESTREPO"
105001013439,"INST EDUC FELIX DE BEDOUT MORENO"
105001013447,"INST EDUC JOSE HORACIO BETANCUR"
105001013633,"INST EDUC LOMA HERMOSA"
105001014052,"INST EDUC NUEVO HORIZONTE"
105001014397,"INST EDUC LUIS LOPEZ DE MESA"
105001014851,"INST EDUC JESUS REY"
105001015091,"INST EDUC FE Y ALEGRIA GRANIZAL"
105001015148,"INST EDUC CAMILO MORA CARRASQUILLA"
105001015172,"INST EDUC EDUARDO SANTOS"
105001015211,"INST EDUC LA LIBERTAD"
105001015229,"INST EDUC VILLA TURBAY"
105001015831,"INST EDUC VALLEJUELOS"
105001016420,"INST EDUC TRICENTENARIO"
105001017132,"INST EDUC FE Y ALEGRIA SAN JOSE"
105001017876,"INST EDUC FRANCISCO LUIS HERNANDEZ BETANCUR"
105001017965,"INST EDUC MANUEL JOSE GOMEZ S"
105001018759,"INST EDUC FE Y ALEGRIA EL LIMONAR"
105001019011,"INST EDUC ESTELLA VELEZ LONDOÑO ANTES SAUL LONDOÑO LONDOÑO"
105001019062,"INST EDUC ALFONSO MORA NARANJO"
105001019089,"INST EDUC VIDA PARA TODOS"
105001019143,"INST EDUC JORGE ELIECER GAITAN"
105001019194,"INST EDUC EL PEDREGAL"
105001019305,"INST EDUC LA AVANZADA"
105001019330,"INST EDUC BARRIO SANTA MARGARITA"
105001019429,"INST EDUC LUIS CARLOS GALAN SARMIENTO"
105001019453,"INST EDUC VILLA DEL SOCORRO"
105001019534,"INST EDUC RODRIGO LARA BONILLA"
105001019674,"INST EDUC MIRAFLORES"
105001019798,"INST EDUC ALFONSO LOPEZ"
105001019925,"INST EDUC ALCALDIA DE MEDELLIN"
105001020028,"INST EDUC EL SALVADOR"
105001020052,"INST EDUC RAFAEL GARCIA HERREROS"
105001020273,"INST EDUC CIUDAD DON BOSCO"
105001021199,"INST EDUC LA INDEPENDENCIA"
105001021547,"INST EDUC VILLA FLORA"
105001021636,"INST EDUC KENNEDY"
105001021873,"INST EDUC SOL DE ORIENTE"
105001022101,"INST EDUC LAS NIEVES"
105001023965,"INST EDUC FINCA LA MESA"
105001024073,"INST EDUC CASD"
105001025763,"INST EDUC DEBORA ARANGO PEREZ"
105001025771,"INST EDUC JOAQUIN VALLEJO ARBELAEZ"
105001025780,"INST EDUC PBRO ANTONIO JOSE BERNAL LONDOÑO"
105001025798,"INST EDUC ANGELA RESTREPO MORENO"
105001025984,"INST EDUC COL LOYOLA PARA LA CIENCIA Y LA INNOVACION"
105001025992,"INST EDUC LA HUERTA"
105001026000,"INST EDUC LAS FLORES"
105001026131,"INST EDUC EL PINAL"
205001001389,"CENT EDUC MEDIA LUNA"
205001001672,"INST EDUC MONSEÑOR VICTOR WIEDEMANN"
205001001966,"CENT EDUC LA ALDEA"
205001002199,"INST EDUC CARLOS ALBERTO CALDERON"
205001002768,"CENT EDUC EL SALADO"
205001006119,"CENT EDUC JUAN ANDRES PATINO"
205001006224,"CENT EDUC PERMANENTE MAZO"
205001006232,"INST EDUC  SAN CRISTOBAL"
205001006526,"INST EDUC MARINA ORTH"
205001007735,"INST EDUC HECTOR ROGELIO MONTOYA"
205001009797,"INST EDUC MANUEL J. BETANCUR"
205001009916,"CENT EDUC EL MANZANILLO"
205001010264,"INST EDUC PRESBITERO JUAN J. ESCOBAR"
205001010281,"INST  EDUC ALFONSO UPEGUI OROZCO"
205001011031,"INST EDUC SANTA ELENA"
205001012534,"INST EDUC SAN ANTONIO DE PRADO"
205001014308,"CENT EDUC LAS PLAYAS"
205001018745,"INST EDUC EL LIMONAR"
205001019318,"INST EDUC SAN JOSE OBRERO"
105001025844,"INST EDUC ANTONIO DERKA - SANTO DOMINGO"
205001019989,"CENT EDUC TRAVESIAS EL MORRO"
205001021452,"CENT EDUC PEDREGAL ALTO"
305001004854,"INST EDUC ALVERNIA"
305001007594,"INST EDUC SANTA JUANA DE LESTONAC"
305001015287,"INST EDUC LA CANDELARIA"
305001015686,"INST EDUC MAESTRO ARENAS BETANCUR"
305001016542,"INST EDUC EL TRIUNFO SANTA TERESA"
305001018022,"INST EDUC FE Y ALEGRIA LUIS AMIGO"
305001018839,"INST EDUC MADRE LAURA"
305001019690,"INST EDUC ARZOBISPO TULIO BOTERO SALAZAR"
305001022232,"INST EDUC  BARRIO OLAYA HERRERA"
305001022640,"INST EDUC EL BOSQUE"
